,manager,href,href_text,alt,img
10,Mark F Travis,https://sec.report/Document/0000898531-20-000267/,"Intrepid Capital Management Funds Trust ...
sec.report",Intrepid Capital Management Funds Trust 2020 Semi-Annual Certified  Shareholder Report N-CSRS,/Users/jsusser/Desktop/managers/Mark F Travis/3ICMUX US equity Mark F Travis.jpg
11,Mark F Travis,https://sec.report/Document/0000898531-20-000267/,"Intrepid Capital Management Funds Trust ...
sec.report",Intrepid Capital Management Funds Trust 2020 Semi-Annual Certified  Shareholder Report N-CSRS,/Users/jsusser/Desktop/managers/Mark F Travis/4ICMUX US equity Mark F Travis.jpg
12,George Goudelias,https://www.virtus.com/articles/income-investing-time-to-rethink-your-strategy,"Virtus Voices | Income Investing: Time ...
virtus.com",Virtus Voices | Income Investing: Time to Rethink Your Strategy | Virtus  Investment Partners,/Users/jsusser/Desktop/managers/George Goudelias/16RIMOX US equity George Goudelias.jpg
13,Nicholas Niziolek,https://www.calamos.com/about/investment-organization/nick-niziolek/,"Nick Niziolek | Calamos Investments
calamos.com",Nick Niziolek | Calamos Investments,/Users/jsusser/Desktop/managers/Nicholas Niziolek/1CCHYX US equity Nicholas Niziolek.jpg
14,Nicholas Niziolek,https://twitter.com/calamos/status/1283517699956637701,"Calamos Investments on Twitter: ""Why ...
twitter.com","Calamos Investments on Twitter: ""Why our Global/International team is even  more positive about non-U.S., #emergingmarkets #equities—Nick Niziolek  discusses with @OJRenick on @TDANetwork https://t.co/DEOBhWUvVu…  https://t.co/20NPeoq03Q""",/Users/jsusser/Desktop/managers/Nicholas Niziolek/8CCHYX US equity Nicholas Niziolek.jpg
15,Chuck Carmody,https://www.calamos.com/about/portfolio-management/charles-e.-carmody/,"Charles E. Carmody, CFA | Calamos ...
calamos.com","Charles E. Carmody, CFA | Calamos Investments",/Users/jsusser/Desktop/managers/Chuck Carmody/1CCHYX US equity Chuck Carmody.jpg
16,Chuck Carmody,https://www.cbre.us/people-and-offices/charles-carmody,"Charles Carmody | CBRE
cbre.us",Charles Carmody | CBRE,/Users/jsusser/Desktop/managers/Chuck Carmody/2CCHYX US equity Chuck Carmody.jpg
17,Chuck Carmody,https://www.carmodyatwork.com/services/,"Employment Law Attorneys ...
carmodyatwork.com",Meet the Team | Our Employment Law Attorneys | Carmody Law,/Users/jsusser/Desktop/managers/Chuck Carmody/5CCHYX US equity Chuck Carmody.jpg
18,Chuck Carmody,https://www.shutterstock.com/editorial/image-editorial/creators-of-beyond-a-steel-sky-game-by-revolution-software-york-yorkshire-uk-25-apr-2019-10227388n,"Charles Cecil Noirin Carmody two ...
shutterstock.com",Charles Cecil Noirin Carmody two founders Revolution Editorial Stock Photo  - Stock Image | Shutterstock,/Users/jsusser/Desktop/managers/Chuck Carmody/7CCHYX US equity Chuck Carmody.jpg
19,Chuck Carmody,https://www.carmodyford.com/staff.aspx,"Carmody Ford Staff | Meet Our Ford Team
carmodyford.com",Carmody Ford Staff | Meet Our Ford Team,/Users/jsusser/Desktop/managers/Chuck Carmody/8CCHYX US equity Chuck Carmody.jpg
20,Chuck Carmody,https://twitter.com/jbcarmody,"Bryan Carmody (@jbcarmody) | Twitter
twitter.com",Bryan Carmody (@jbcarmody) | Twitter,/Users/jsusser/Desktop/managers/Chuck Carmody/10CCHYX US equity Chuck Carmody.jpg
21,Matt Freund,https://www.linkedin.com/in/matt-freund-04a1a837,"Matt Freund - Co-Chief Investment ...
linkedin.com",Matt Freund - Co-Chief Investment Officer - Calamos Investments | LinkedIn,/Users/jsusser/Desktop/managers/Matt Freund/1CCHYX US equity Matt Freund.jpg
22,Matt Freund,https://www.linkedin.com/in/matt-freund-79501516,"Matt Freund - Head of Growth - Pact ...
linkedin.com",Matt Freund - Head of Growth - Pact | LinkedIn,/Users/jsusser/Desktop/managers/Matt Freund/2CCHYX US equity Matt Freund.jpg
23,Matt Freund,https://www.linkedin.com/in/matt-freund-79501516,"Matt Freund - Head of Growth - Pact ...
linkedin.com",Matt Freund - Head of Growth - Pact | LinkedIn,/Users/jsusser/Desktop/managers/Matt Freund/3CCHYX US equity Matt Freund.jpg
24,Matt Freund,https://www.linkedin.com/in/matt-freund-04a1a837,"Matt Freund - Co-Chief Investment ...
linkedin.com",Matt Freund - Co-Chief Investment Officer - Calamos Investments | LinkedIn,/Users/jsusser/Desktop/managers/Matt Freund/4CCHYX US equity Matt Freund.jpg
25,Matt Freund,https://www.linkedin.com/in/matt-freund-04a1a837,"Matt Freund - Co-Chief Investment ...
linkedin.com",Matt Freund - Co-Chief Investment Officer - Calamos Investments | LinkedIn,/Users/jsusser/Desktop/managers/Matt Freund/5CCHYX US equity Matt Freund.jpg
26,Matt Freund,https://www.linkedin.com/in/matt-freund-79501516,"Matt Freund - Head of Growth - Pact ...
linkedin.com",Matt Freund - Head of Growth - Pact | LinkedIn,/Users/jsusser/Desktop/managers/Matt Freund/6CCHYX US equity Matt Freund.jpg
27,Matt Freund,https://www.linkedin.com/in/matt-freund-79501516,"Matt Freund - Head of Growth - Pact ...
linkedin.com",Matt Freund - Head of Growth - Pact | LinkedIn,/Users/jsusser/Desktop/managers/Matt Freund/8CCHYX US equity Matt Freund.jpg
28,Matt Freund,https://www.linkedin.com/in/matt-freund-04a1a837,"Matt Freund - Co-Chief Investment ...
linkedin.com",Matt Freund - Co-Chief Investment Officer - Calamos Investments | LinkedIn,/Users/jsusser/Desktop/managers/Matt Freund/9CCHYX US equity Matt Freund.jpg
29,Matt Freund,https://www.linkedin.com/in/matt-freund-04a1a837,"Matt Freund - Co-Chief Investment ...
linkedin.com",Matt Freund - Co-Chief Investment Officer - Calamos Investments | LinkedIn,/Users/jsusser/Desktop/managers/Matt Freund/11CCHYX US equity Matt Freund.jpg
30,Scott Roberts,https://www.invesco.com/us/financial-products/mutual-funds/product-detail?audienceType=Ria&fundId=1841,"Invesco High Yield Fund
invesco.com",Invesco | Product Detail | Invesco High Yield Fund,/Users/jsusser/Desktop/managers/Scott Roberts/1AMHYX US equity Scott Roberts.jpg
31,Scott Roberts,https://www.invesco.com/us/financial-products/mutual-funds/product-detail?audienceType=Ria&fundId=1841,"Invesco High Yield Fund
invesco.com",Invesco | Product Detail | Invesco High Yield Fund,/Users/jsusser/Desktop/managers/Scott Roberts/2AMHYX US equity Scott Roberts.jpg
32,Scott Roberts,https://www.mutualfundobserver.com/2012/page/2/,"Archives for 2012 | Mutual Fund ...
mutualfundobserver.com",Archives for 2012 | Mutual Fund Observer - Page 2,/Users/jsusser/Desktop/managers/Scott Roberts/10AMHYX US equity Scott Roberts.jpg
33,Jeffrey Clarke,https://www.lazardassetmanagement.com/us/en_us/funds/mutual-funds/lazard-us-corporate-income-portfolio/f144/s70/,"Lazard US Corporate Income Portfolio ...
lazardassetmanagement.com",Lazard US Corporate Income Portfolio | Lazard Asset Management,/Users/jsusser/Desktop/managers/Jeffrey Clarke/1LZHYX US equity Jeffrey Clarke.jpg
34,Jeffrey Clarke,https://www.lazardassetmanagement.com/us/en_us/funds/mutual-funds/lazard-us-corporate-income-portfolio/f144/s70/,"Lazard US Corporate Income Portfolio ...
lazardassetmanagement.com",Lazard US Corporate Income Portfolio | Lazard Asset Management,/Users/jsusser/Desktop/managers/Jeffrey Clarke/2LZHYX US equity Jeffrey Clarke.jpg
35,Jeffrey Clarke,https://www.jeffclarktrader.com/,"Home - Jeff Clark Trader
jeffclarktrader.com",Home - Jeff Clark Trader,/Users/jsusser/Desktop/managers/Jeffrey Clarke/3LZHYX US equity Jeffrey Clarke.jpg
36,Jeffrey Clarke,https://www.enovationpartners.com/jeff-clark,"Jeff Clark — Enovation Partners
enovationpartners.com",Jeff Clark — Enovation Partners,/Users/jsusser/Desktop/managers/Jeffrey Clarke/6LZHYX US equity Jeffrey Clarke.jpg
37,Matthew W Ryan,https://www.mfs.com/en-us/individual-investor/product-strategies/mutual-funds/MHOBX-mfs-global-high-yield-fund.html,"MHOBX: MFS® Global High Yield Fund | MFS
mfs.com",MHOBX: MFS® Global High Yield Fund | MFS,/Users/jsusser/Desktop/managers/Matthew W Ryan/1MHOBX US equity Matthew W Ryan.jpg
38,Matthew W Ryan,https://advisor.morganstanley.com/horizon-group,"Horizon Group | Albuquerque, NM | Santa ...
advisor.morganstanley.com","Horizon Group | Albuquerque, NM | Santa Fe, NM | Morgan Stanley Wealth  Management",/Users/jsusser/Desktop/managers/Matthew W Ryan/8MHOBX US equity Matthew W Ryan.jpg
39,Matthew W Ryan,https://advisor.morganstanley.com/horizon-group,"Horizon Group | Albuquerque, NM | Santa ...
advisor.morganstanley.com","Horizon Group | Albuquerque, NM | Santa Fe, NM | Morgan Stanley Wealth  Management",/Users/jsusser/Desktop/managers/Matthew W Ryan/9MHOBX US equity Matthew W Ryan.jpg
40,Bill Adams,https://www.mbamortgageteam.com/staff-member/bill-adams/,"Bill Adams - MBA Mortgage
mbamortgageteam.com",Bill Adams - MBA Mortgage,/Users/jsusser/Desktop/managers/Bill Adams/1MHOBX US equity Bill Adams.jpg
41,Mike Skatrud,https://www.mfs.com/en-us/individual-investor/product-strategies/mutual-funds/MHOBX-mfs-global-high-yield-fund.html,"MHOBX: MFS® Global High Yield Fund | MFS
mfs.com",MHOBX: MFS® Global High Yield Fund | MFS,/Users/jsusser/Desktop/managers/Mike Skatrud/1MHOBX US equity Mike Skatrud.jpg
42,Jenna Barnard,https://www.janushenderson.com/en-us/advisor/bio/jenna-barnard-cfa/,"Jenna Barnard, CFA - Janus Henderson ...
janushenderson.com","Jenna Barnard, CFA - Janus Henderson Investors",/Users/jsusser/Desktop/managers/Jenna Barnard/4HFAAX US equity Jenna Barnard.jpg
43,Jenna Barnard,https://www.janushenderson.com/en-us/advisor/bio/jenna-barnard-cfa/,"Jenna Barnard, CFA - Janus Henderson ...
janushenderson.com","Jenna Barnard, CFA - Janus Henderson Investors",/Users/jsusser/Desktop/managers/Jenna Barnard/5HFAAX US equity Jenna Barnard.jpg
44,Jenna Barnard,https://www.janushenderson.com/en-us/offshore/bio/jenna-barnard-cfa/,"Jenna Barnard, CFA - Janus Henderson ...
janushenderson.com","Jenna Barnard, CFA - Janus Henderson Investors",/Users/jsusser/Desktop/managers/Jenna Barnard/6HFAAX US equity Jenna Barnard.jpg
45,Jenna Barnard,https://www.janushenderson.com/en-us/investor/product/developed-world-bond-fund/,"Developed World Bond Fund - Janus ...
janushenderson.com",Developed World Bond Fund - Janus Henderson Investors,/Users/jsusser/Desktop/managers/Jenna Barnard/8HFAAX US equity Jenna Barnard.jpg
46,Jenna Barnard,https://www.advisorperspectives.com/search?author=Jenna%20Barnard,"Search - Advisor Perspectives
advisorperspectives.com",Search - Advisor Perspectives,/Users/jsusser/Desktop/managers/Jenna Barnard/9HFAAX US equity Jenna Barnard.jpg
47,Jenna Barnard,https://www.advisorperspectives.com/search?author=Jenna%20Barnard,"Search - Advisor Perspectives
advisorperspectives.com",Search - Advisor Perspectives,/Users/jsusser/Desktop/managers/Jenna Barnard/10HFAAX US equity Jenna Barnard.jpg
48,Jenna Barnard,https://www.advisorperspectives.com/search?author=Jenna%20Barnard,"Search - Advisor Perspectives
advisorperspectives.com",Search - Advisor Perspectives,/Users/jsusser/Desktop/managers/Jenna Barnard/11HFAAX US equity Jenna Barnard.jpg
49,John Pattullo,https://www.janushenderson.com/en-gb/investor/bio/john-pattullo/,"John Pattullo - Janus Henderson Investors
janushenderson.com",John Pattullo - Janus Henderson Investors,/Users/jsusser/Desktop/managers/John Pattullo/1HFAAX US equity John Pattullo.jpg
50,John Pattullo,https://uk.linkedin.com/in/john-pattullo-99ab7a33,"John Pattullo - Co Head of Strategic ...
uk.linkedin.com",John Pattullo - Co Head of Strategic Fixed Income - Henderson Global  Investors | LinkedIn,/Users/jsusser/Desktop/managers/John Pattullo/4HFAAX US equity John Pattullo.jpg
51,John Pattullo,https://vgrouplimited.com/our-group/board-of-directors,"Board Of Directors - V.Group - Ship ...
vgrouplimited.com",Board Of Directors - V.Group - Ship Management & Marine Services,/Users/jsusser/Desktop/managers/John Pattullo/5HFAAX US equity John Pattullo.jpg
52,John Pattullo,https://www.janushenderson.com/en-gb/adviser/article/broken-curves-are-misguided-inflation-measures-leading-to-policy-mistakes/,"Broken curves: are misguided inflation ...
janushenderson.com",Broken curves: are misguided inflation measures leading to policy mistakes?  - Janus Henderson Investors,/Users/jsusser/Desktop/managers/John Pattullo/6HFAAX US equity John Pattullo.jpg
53,John Pattullo,https://az768132.vo.msecnd.net/documents/15331_2016_05_13_10_24_07_567.gzip.pdf,"Henderson Strategic Income Fund
az768132.vo.msecnd.net",Henderson Strategic Income Fund,/Users/jsusser/Desktop/managers/John Pattullo/7HFAAX US equity John Pattullo.jpg
54,John Pattullo,https://az768132.vo.msecnd.net/documents/15205_2016_05_03_09_34_23_833.gzip.pdf,"Henderson Global Funds
az768132.vo.msecnd.net",Henderson Global Funds,/Users/jsusser/Desktop/managers/John Pattullo/8HFAAX US equity John Pattullo.jpg
55,Sean Feeley,https://www.linkedin.com/in/sean-feely,"Sean Feely - Manager, Corporate ...
linkedin.com","Sean Feely - Manager, Corporate Development and Strategy/M&A - Superior  Plus Corp | LinkedIn",/Users/jsusser/Desktop/managers/Sean Feeley/2BXIAX US equity Sean Feeley.jpg
56,Sean Feeley,https://www.barings.com/us/guest/funds/mutual-funds/barings-global-credit-income-opportunities-fund,"Barings Global Credit Income ...
barings.com",Barings Global Credit Income Opportunities Mutual Fund,/Users/jsusser/Desktop/managers/Sean Feeley/3BXIAX US equity Sean Feeley.jpg
57,Sean Feeley,https://www.barings.com/us/guest/funds/mutual-funds/barings-global-credit-income-opportunities-fund,"Barings Global Credit Income ...
barings.com",Barings Global Credit Income Opportunities Mutual Fund,/Users/jsusser/Desktop/managers/Sean Feeley/4BXIAX US equity Sean Feeley.jpg
58,Sean Feeley,https://www.barings.com/us/guest/funds/mutual-funds/barings-global-credit-income-opportunities-fund,"Barings Global Credit Income ...
barings.com",Barings Global Credit Income Opportunities Mutual Fund,/Users/jsusser/Desktop/managers/Sean Feeley/5BXIAX US equity Sean Feeley.jpg
59,Sean Feeley,https://www.barings.com/us/guest/funds/mutual-funds/barings-global-credit-income-opportunities-fund,"Barings Global Credit Income ...
barings.com",Barings Global Credit Income Opportunities Mutual Fund,/Users/jsusser/Desktop/managers/Sean Feeley/7BXIAX US equity Sean Feeley.jpg
60,Sean Feeley,https://huntscanlon.com/recruiter/corinne-feeley/,"Corinne Feeley | Hunt Scanlon Media
huntscanlon.com",Corinne Feeley | Hunt Scanlon Media,/Users/jsusser/Desktop/managers/Sean Feeley/11BXIAX US equity Sean Feeley.jpg
61,John P McCarthy,https://www.delawarefunds.com/products/mutual-funds/fixed-income/delaware-fund-for-income-fund,"Delaware Fund for Income
delawarefunds.com",Delaware Fund for Income,/Users/jsusser/Desktop/managers/John P McCarthy/1FIFIX US equity John P McCarthy.jpg
62,John P McCarthy,https://www.delawarefunds.com/products/mutual-funds/fixed-income/delaware-fund-for-income-fund,"Delaware Fund for Income
delawarefunds.com",Delaware Fund for Income,/Users/jsusser/Desktop/managers/John P McCarthy/2FIFIX US equity John P McCarthy.jpg
63,John P McCarthy,https://www.mccarthycapital.com/team/,"Team – McCarthy Capital
mccarthycapital.com",Team – McCarthy Capital,/Users/jsusser/Desktop/managers/John P McCarthy/4FIFIX US equity John P McCarthy.jpg
64,John P McCarthy,https://www.mccarthycapital.com/team/,"Team – McCarthy Capital
mccarthycapital.com",Team – McCarthy Capital,/Users/jsusser/Desktop/managers/John P McCarthy/5FIFIX US equity John P McCarthy.jpg
65,John P McCarthy,https://www.mccarthycapital.com/team/,"Team – McCarthy Capital
mccarthycapital.com",Team – McCarthy Capital,/Users/jsusser/Desktop/managers/John P McCarthy/6FIFIX US equity John P McCarthy.jpg
66,John P McCarthy,https://www.mccarthycapital.com/team/,"Team – McCarthy Capital
mccarthycapital.com",Team – McCarthy Capital,/Users/jsusser/Desktop/managers/John P McCarthy/8FIFIX US equity John P McCarthy.jpg
67,John P McCarthy,https://www.mccarthycapital.com/team/,"Team – McCarthy Capital
mccarthycapital.com",Team – McCarthy Capital,/Users/jsusser/Desktop/managers/John P McCarthy/9FIFIX US equity John P McCarthy.jpg
68,John P McCarthy,https://www.linkedin.com/in/john-p-mccarthy-45170680,"John P. McCarthy - Senior Portfolio ...
linkedin.com",John P. McCarthy - Senior Portfolio Manager - Macquarie Investment  Management | LinkedIn,/Users/jsusser/Desktop/managers/John P McCarthy/11FIFIX US equity John P McCarthy.jpg
69,Ricky Liu,https://www.linkedin.com/in/rwkliu,"Ricky Liu - United States ...
linkedin.com",Ricky Liu - United States | Professional Profile | LinkedIn,/Users/jsusser/Desktop/managers/Ricky Liu/1HBIAX US equity Ricky Liu.jpg
70,Ricky Liu,https://www.linkedin.com/in/rick-liu-1204a8175,"Rick Liu - Sales, Turn-Key PCB Assembly ...
linkedin.com","Rick Liu - Sales, Turn-Key PCB Assembly Service - OverflyPacific  Corporation | LinkedIn",/Users/jsusser/Desktop/managers/Ricky Liu/2HBIAX US equity Ricky Liu.jpg
71,Paul J Denoon,https://www.morningstar.com/articles/79090/fund-times-openings-closings-manager-changes,"Openings, Closings, & Manager Changes ...
morningstar.com","Fund Times: Openings, Closings, & Manager Changes | Morningstar",/Users/jsusser/Desktop/managers/Paul J Denoon/4AGDAX US equity Paul J Denoon.jpg
72,Andrew Susser,https://www.advisorselect.com/transcript/tickerfunds/q-a-with-andrew-susser-mainstay-high-yield-corporate-bond-fund,"MainStay High Yield Corporate Bond Fund
advisorselect.com",Advisorselect - Q&A with Andrew Susser - MainStay High Yield Corporate Bond  Fund,/Users/jsusser/Desktop/managers/Andrew Susser/1MKHCX US equity Andrew Susser.jpg
73,Andrew Susser,https://www.pionline.com/article/20170220/PRINT/170219927/high-yield-strategies-take-baton-from-long-duration-to-end-2016,"High-yield strategies take baton from ...
pionline.com",High-yield strategies take baton from long duration to end 2016,/Users/jsusser/Desktop/managers/Andrew Susser/7MKHCX US equity Andrew Susser.jpg
74,Andrew Susser,https://www.advisorperspectives.com/articles/2017/07/17/navigating-the-high-yield-market.pdf,"Navigating the High-Yield Market
advisorperspectives.com",Navigating the High-Yield Market,/Users/jsusser/Desktop/managers/Andrew Susser/8MKHCX US equity Andrew Susser.jpg
75,Andrew Susser,https://citywireselector.com/news/wells-fargo-am-s-co-head-of-us-high-yield-to-exit/a1389442,"Wells Fargo AM's co-head of US high ...
citywireselector.com",Wells Fargo AM's co-head of US high yield to exit - Citywire,/Users/jsusser/Desktop/managers/Andrew Susser/10MKHCX US equity Andrew Susser.jpg
76,Robert Junkin,https://www.wellsfargoassetmanagement.com/investments/mutual-funds/fund-profile/overview.html?accountingId=4203&shareClass=A,"High Yield Bond Fund (EKHAX) - Overview ...
wellsfargoassetmanagement.com",High Yield Bond Fund (EKHAX) - Overview - Wells Fargo Asset Management,/Users/jsusser/Desktop/managers/Robert Junkin/1EKHAX US equity Robert Junkin.jpg
77,Bill Morgan,https://am.jpmorgan.com/us/en/asset-management/adv/products/fund-explorer,"Fund Explorer | J.P. Morgan Asset ...
am.jpmorgan.com",Fund Explorer | J.P. Morgan Asset Management,/Users/jsusser/Desktop/managers/Bill Morgan/1OHYFX US equity Bill Morgan.jpg
78,James P Shanahan Jr,https://am.jpmorgan.com/sg/en/asset-management/per/bios/james-shanahan/,"J.P. Morgan Asset Management
am.jpmorgan.com",James Shanahan | Biographies | J.P. Morgan Asset Management,/Users/jsusser/Desktop/managers/James P Shanahan Jr/7OHYFX US equity James P Shanahan Jr.jpg
79,Michael Weaver,https://www.fidelity.com/bin-public/060_www_fidelity_com/documents/SHDOCS/FHIFX/hosts/sh_comm_pmqa.001366.RETAIL_pdf.pdf,"Fidelity® Focused High Income Fund
fidelity.com",Fidelity® Focused High Income Fund,/Users/jsusser/Desktop/managers/Michael Weaver/1FHIFX US equity Michael Weaver.jpg
80,Michael Weaver,https://fundresearch.fidelity.com/mutual-funds/analysis/316146794,"High Income Fund | Fidelity Investments
fundresearch.fidelity.com",FHIFX - Fidelity ® Focused High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Michael Weaver/2FHIFX US equity Michael Weaver.jpg
81,Michael Weaver,https://fundresearch.fidelity.com/mutual-funds/analysis/316146794,"High Income Fund | Fidelity Investments
fundresearch.fidelity.com",FHIFX - Fidelity ® Focused High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Michael Weaver/3FHIFX US equity Michael Weaver.jpg
82,Michael Weaver,https://www.wsj.com/articles/and-the-no-1-stock-fund-manager-is-11554689520,"And the No. 1 Stock-Fund Manager Is… - WSJ
wsj.com",And the No. 1 Stock-Fund Manager Is… - WSJ,/Users/jsusser/Desktop/managers/Michael Weaver/4FHIFX US equity Michael Weaver.jpg
83,David J Breazzano,https://www.hedgeweek.com/2018/08/28/267782/ddj-capital-management-marks-third-anniversary-ddj-opportunistic-high-yield-fund,"DDJ Opportunistic High Yield Fund ...
hedgeweek.com",DDJ Capital Management marks third anniversary of DDJ Opportunistic High  Yield Fund | Hedgeweek,/Users/jsusser/Desktop/managers/David J Breazzano/1DDJCX US equity David J Breazzano.jpg
84,John W Sherman,https://www.hedgeweek.com/2018/08/28/267782/ddj-capital-management-marks-third-anniversary-ddj-opportunistic-high-yield-fund,"DDJ Opportunistic High Yield Fund ...
hedgeweek.com",DDJ Capital Management marks third anniversary of DDJ Opportunistic High  Yield Fund | Hedgeweek,/Users/jsusser/Desktop/managers/John W Sherman/1DDJCX US equity John W Sherman.jpg
85,John W Sherman,http://ddjcap.com/wp-content/uploads/2019.06-DDJ-Opportunistic-High-Yield-Fund-Fact-Sheet.pdf,"DDJ Opportunistic High Yield Fund
ddjcap.com",DDJ Opportunistic High Yield Fund,/Users/jsusser/Desktop/managers/John W Sherman/3DDJCX US equity John W Sherman.jpg
86,John W Sherman,http://ddjcap.com/wp-content/uploads/2019.06-DDJ-Opportunistic-High-Yield-Fund-Fact-Sheet.pdf,"DDJ Opportunistic High Yield Fund
ddjcap.com",DDJ Opportunistic High Yield Fund,/Users/jsusser/Desktop/managers/John W Sherman/4DDJCX US equity John W Sherman.jpg
87,John W Sherman,https://www.marketscreener.com/business-leaders/John-Sherman-05GZ4F-E/biography/,"John J. Sherman - Biography
marketscreener.com",John J. Sherman - Biography,/Users/jsusser/Desktop/managers/John W Sherman/7DDJCX US equity John W Sherman.jpg
88,Tom O'Reilly,https://www.morningstar.com/articles/678276/oreilly-high-yield-bonds-should-weather-the-oil-shock,"O'Reilly: High-Yield Bonds Should ...
morningstar.com",O'Reilly: High-Yield Bonds Should Weather the Oil Shock | Morningstar,/Users/jsusser/Desktop/managers/Tom O'Reilly/2PYHIX US equity Tom O'Reilly.jpg
89,Tom O'Reilly,https://steveblank.com/tools-and-blogs-for-entrepreneurs/,"Steve Blank Startup Tools
steveblank.com",Steve Blank Startup Tools,/Users/jsusser/Desktop/managers/Tom O'Reilly/10PYHIX US equity Tom O'Reilly.jpg
90,Daniel Deyoung,https://www.columbiathreadneedleus.com/investment-products/mutual-funds/Columbia-High-Yield-Bond-Fund/Class-A/details/?cusip=19766F274,"INEAX | Columbia High Yield Bond Fund ...
columbiathreadneedleus.com",INEAX | Columbia High Yield Bond Fund | Columbia Threadneedle Investments US,/Users/jsusser/Desktop/managers/Daniel Deyoung/1INEAX US equity Daniel Deyoung.jpg
91,Daniel Deyoung,https://www.morningstar.com/articles/918741/10-funds-get-downgraded-in-february,"10 Funds Get Downgraded in February ...
morningstar.com",10 Funds Get Downgraded in February | Morningstar,/Users/jsusser/Desktop/managers/Daniel Deyoung/3INEAX US equity Daniel Deyoung.jpg
92,Chris Barris,https://im.bnymellon.com/us/en/cash-management/funds/05588E835,"BNY Mellon High Yield Fund
im.bnymellon.com",BNY Mellon High Yield Fund,/Users/jsusser/Desktop/managers/Chris Barris/1DPLTX US equity Chris Barris.jpg
93,Chris Barris,https://im.bnymellon.com/us/en/cash-management/funds/05588E835,"BNY Mellon High Yield Fund
im.bnymellon.com",BNY Mellon High Yield Fund,/Users/jsusser/Desktop/managers/Chris Barris/2DPLTX US equity Chris Barris.jpg
94,Chris Barris,https://www.alcentra.com/company/management/chris-barris/,"Chris Barris - Alcentra
alcentra.com",Chris Barris - Alcentra,/Users/jsusser/Desktop/managers/Chris Barris/3DPLTX US equity Chris Barris.jpg
95,Chris Barris,https://im.bnymellon.com/us/en/individual/funds/05588E835,"BNY Mellon High Yield Fund
im.bnymellon.com",BNY Mellon High Yield Fund,/Users/jsusser/Desktop/managers/Chris Barris/4DPLTX US equity Chris Barris.jpg
